library;ref;type;enzyme
#
### Human gut methods paper
#
# Yaffe et al., NM 2020
#
Hum1a_HiC;Hum1;hic;DpnII
Hum1b_HiC;Hum1;hic;DpnII
Hum1c_HiC;Hum1;hic;DpnII
Hum1_SG;Hum1;sg;-
Hum2a_HiC;Hum2;hic;DpnII
Hum2b_HiC;Hum2;hic;DpnII
Hum2_SG;Hum2;sg;-
#
# Kent et al. 2019
#
Hum3a_HiC;Hum3;hic;Sau3AI
Hum3b_HiC;Hum3;hic;Sau3AI
Hum3c_HiC;Hum3;hic;Sau3AI
Hum3d_HiC;Hum3;hic;Sau3AI
Hum3a_SG;Hum3;sg;-
Hum3b_SG;Hum3;sg;-
Hum3c_SG;Hum3;sg;-
Hum3d_SG;Hum3;sg;-
Hum4a_HiC;Hum4;hic;Sau3AI
Hum4b_HiC;Hum4;hic;Sau3AI
Hum4c_HiC;Hum4;hic;Sau3AI
Hum4d_HiC;Hum4;hic;Sau3AI
Hum4e_HiC;Hum4;hic;Sau3AI
Hum4f_HiC;Hum4;hic;Sau3AI
Hum4g_HiC;Hum4;hic;Sau3AI
Hum4a_SG;Hum4;sg;-
Hum4b_SG;Hum4;sg;-
Hum4c_SG;Hum4;sg;-
Hum4d_SG;Hum4;sg;-
Hum4e_SG;Hum4;sg;-
Hum4f_SG;Hum4;sg;-
Hum4g_SG;Hum4;sg;-
Hum5a_HiC;Hum5;hic;Sau3AI
Hum5b_HiC;Hum5;hic;Sau3AI
Hum5c_HiC;Hum5;hic;Sau3AI
Hum5d_HiC;Hum5;hic;Sau3AI
Hum5a_SG;Hum5;sg;-
Hum5b_SG;Hum5;sg;-
Hum5c_SG;Hum5;sg;-
Hum5d_SG;Hum5;sg;-
Hum6a_HiC;Hum6;hic;Sau3AI
Hum6b_HiC;Hum6;hic;Sau3AI
Hum6c_HiC;Hum6;hic;Sau3AI
Hum6d_HiC;Hum6;hic;Sau3AI
Hum6a_SG;Hum6;sg;-
Hum6b_SG;Hum6;sg;-
Hum6c_SG;Hum6;sg;-
Hum6d_SG;Hum6;sg;-
Hum7a_HiC;Hum7;hic;Sau3AI
Hum7b_HiC;Hum7;hic;Sau3AI
Hum7c_HiC;Hum7;hic;Sau3AI
Hum7a_SG;Hum7;sg;-
Hum7b_SG;Hum7;sg;-
Hum7c_SG;Hum7;sg;-
Hum8a_HiC;Hum8;hic;Sau3AI
Hum8b_HiC;Hum8;hic;Sau3AI
Hum8c_HiC;Hum8;hic;Sau3AI
Hum8d_HiC;Hum8;hic;Sau3AI
Hum8e_HiC;Hum8;hic;Sau3AI
Hum8f_HiC;Hum8;hic;Sau3AI
Hum8a_SG;Hum8;sg;-
Hum8b_SG;Hum8;sg;-
Hum8c_SG;Hum8;sg;-
Hum8d_SG;Hum8;sg;-
Hum8e_SG;Hum8;sg;-
Hum8f_SG;Hum8;sg;-
Hum9a_HiC;Hum9;hic;Sau3AI
Hum9b_HiC;Hum9;hic;Sau3AI
Hum9c_HiC;Hum9;hic;Sau3AI
Hum9d_HiC;Hum9;hic;Sau3AI
Hum9e_HiC;Hum9;hic;Sau3AI
Hum9a_SG;Hum9;sg;-
Hum9b_SG;Hum9;sg;-
